,og_img,box_img,features0,features1,features2,Type
0,https://storage.googleapis.com/multiclass_classification/wheat/detections/000be778dbb878bf22db3a3525d9722d7f2a49a3a1fb49321c1a43beabd88c06.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/000be778dbb878bf22db3a3525d9722d7f2a49a3a1fb49321c1a43beabd88c06.png,-44.4985,-6.3825073,-6.3825073,TRAIN
1,https://storage.googleapis.com/multiclass_classification/wheat/detections/003c89679439f746a046c4a89aad17ff32d4e0fe0be96c17518a8f972f31b30d.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/003c89679439f746a046c4a89aad17ff32d4e0fe0be96c17518a8f972f31b30d.png,-21.540903,-5.8430204,-5.8430204,TRAIN
2,https://storage.googleapis.com/multiclass_classification/wheat/detections/007b9fa7360dd0e511b7663287b3237299123b03380da0ee90de998b7d5c573f.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/007b9fa7360dd0e511b7663287b3237299123b03380da0ee90de998b7d5c573f.png,-40.48172,8.046122,8.046122,TRAIN
3,https://storage.googleapis.com/multiclass_classification/wheat/detections/00838a686139533d9d3bc6d67768bf8ef9829d25cb879c3cd90969deb51c0c62.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/00838a686139533d9d3bc6d67768bf8ef9829d25cb879c3cd90969deb51c0c62.png,-23.119345,-40.874462,-40.874462,TRAIN
4,https://storage.googleapis.com/multiclass_classification/wheat/detections/008b7655928e8d4ced39bb44dca79b4a79fd593c38e0444ff77c2cf64314b1e7.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/008b7655928e8d4ced39bb44dca79b4a79fd593c38e0444ff77c2cf64314b1e7.png,-42.486923,3.3029878,3.3029878,TRAIN
5,https://storage.googleapis.com/multiclass_classification/wheat/detections/008c61e7d4e715750e9f9ffff6ca4613561d629c0657afcc85a1faf7dcf8c4e6.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/008c61e7d4e715750e9f9ffff6ca4613561d629c0657afcc85a1faf7dcf8c4e6.png,10.813197,-44.313023,-44.313023,TRAIN
6,https://storage.googleapis.com/multiclass_classification/wheat/detections/008e4196f47d50b0385d14a9955a7e2598457a22ccd4a5b1c8d31df16dd1c3ba.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/008e4196f47d50b0385d14a9955a7e2598457a22ccd4a5b1c8d31df16dd1c3ba.png,4.285693,-20.735851,-20.735851,TRAIN
7,https://storage.googleapis.com/multiclass_classification/wheat/detections/008f08a117500732b6fd986fe37a2d79fc87446cb350cf811dcf856a2831bf97.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/008f08a117500732b6fd986fe37a2d79fc87446cb350cf811dcf856a2831bf97.png,-10.435195,-36.739655,-36.739655,TRAIN
8,https://storage.googleapis.com/multiclass_classification/wheat/detections/00982ddd10513ed92354260324b9c5f74b8dfff26df2b4b75833a4e041eacc5f.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/00982ddd10513ed92354260324b9c5f74b8dfff26df2b4b75833a4e041eacc5f.png,-44.46096,7.8770905,7.8770905,TRAIN
9,https://storage.googleapis.com/multiclass_classification/wheat/detections/00ab9e75ba68b9c4d37edd769c98fe728c61b5349915d30eb8f20298a40f5949.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/00ab9e75ba68b9c4d37edd769c98fe728c61b5349915d30eb8f20298a40f5949.png,5.1199484,-11.873241,-11.873241,TRAIN
10,https://storage.googleapis.com/multiclass_classification/wheat/detections/00af70812322be12f6a9ae8bfe0989384d0fea2742a0ea52d399bffe58c6c603.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/00af70812322be12f6a9ae8bfe0989384d0fea2742a0ea52d399bffe58c6c603.png,-42.407887,7.1500497,7.1500497,TRAIN
11,https://storage.googleapis.com/multiclass_classification/wheat/detections/00c7eba3424bddec474b89661b9f8c887ee7e8bfdb28b222d5fa8e92dd75e901.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/00c7eba3424bddec474b89661b9f8c887ee7e8bfdb28b222d5fa8e92dd75e901.png,-10.8461075,-29.301285,-29.301285,TRAIN
12,https://storage.googleapis.com/multiclass_classification/wheat/detections/00da267e46fc9084115cd37cb38f4ae01b7e0cdf44fa7d76cc8b5047546c29d8.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/00da267e46fc9084115cd37cb38f4ae01b7e0cdf44fa7d76cc8b5047546c29d8.png,1.3815881,50.40576,50.40576,TRAIN
13,https://storage.googleapis.com/multiclass_classification/wheat/detections/00da6c9af4a55bbda674059612fd13e15fe4ce92245147252fe7ea798705fcc7.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/00da6c9af4a55bbda674059612fd13e15fe4ce92245147252fe7ea798705fcc7.png,8.379632,-6.3864737,-6.3864737,TRAIN
14,https://storage.googleapis.com/multiclass_classification/wheat/detections/00db37449e80549ec5acefc04d36b3a1629bcaaa7b1de8c6cb0264b2f3362a52.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/00db37449e80549ec5acefc04d36b3a1629bcaaa7b1de8c6cb0264b2f3362a52.png,-8.977268,-30.038828,-30.038828,TRAIN
15,https://storage.googleapis.com/multiclass_classification/wheat/detections/00df4088ac26dbecead88d141a62b28d0e73932981c4c150b2529ac1ea1c5629.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/00df4088ac26dbecead88d141a62b28d0e73932981c4c150b2529ac1ea1c5629.png,11.086836,-21.001062,-21.001062,TRAIN
16,https://storage.googleapis.com/multiclass_classification/wheat/detections/00e256d99071646c64062a65a7c400d62c73ede9a73a5ad8b4c1d5c77f2d7fd1.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/00e256d99071646c64062a65a7c400d62c73ede9a73a5ad8b4c1d5c77f2d7fd1.png,-2.3643613,-49.778603,-49.778603,TRAIN
17,https://storage.googleapis.com/multiclass_classification/wheat/detections/00e97774cc731469b7070d9140e1b524f1a54c19f87630e31545c8dc1dbf5119.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/00e97774cc731469b7070d9140e1b524f1a54c19f87630e31545c8dc1dbf5119.png,-17.222372,-42.062412,-42.062412,TRAIN
18,https://storage.googleapis.com/multiclass_classification/wheat/detections/00e9fdd2765a39173dfff2745d382230bd278da10bebeb563f82ada621a7a23d.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/00e9fdd2765a39173dfff2745d382230bd278da10bebeb563f82ada621a7a23d.png,3.8369908,-2.4238577,-2.4238577,TRAIN
19,https://storage.googleapis.com/multiclass_classification/wheat/detections/00fa8800d40be3a1411f2d6fe1c04fac8dec772c73e2bc84893e5966ad70e034.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/00fa8800d40be3a1411f2d6fe1c04fac8dec772c73e2bc84893e5966ad70e034.png,23.54675,36.124004,36.124004,TRAIN
20,https://storage.googleapis.com/multiclass_classification/wheat/detections/00fd63c8596a95b9c1c6cdec7a6db99032d21d17b6e1ef585a3021723719ed36.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/00fd63c8596a95b9c1c6cdec7a6db99032d21d17b6e1ef585a3021723719ed36.png,10.81372,33.075153,33.075153,TRAIN
21,https://storage.googleapis.com/multiclass_classification/wheat/detections/0109078dc13b52281c49e60a605a8830b0d99772319b784776a0f02ff769d6bc.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/0109078dc13b52281c49e60a605a8830b0d99772319b784776a0f02ff769d6bc.png,10.224654,-7.499861,-7.499861,TRAIN
22,https://storage.googleapis.com/multiclass_classification/wheat/detections/010e42869565b91eb09daf038ba1a1798851a399c25fab35d42c7f5f2b072d5b.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/010e42869565b91eb09daf038ba1a1798851a399c25fab35d42c7f5f2b072d5b.png,11.514304,34.010002,34.010002,TRAIN
23,https://storage.googleapis.com/multiclass_classificationhttps://storage.googleapis.com/multiclass_classification/wheat/,https://storage.googleapis.com/multiclass_classificationhttps://storage.googleapis.com/multiclass_classification/wheat/,0.28617528,-34.302704,-34.302704,TRAIN
24,https://storage.googleapis.com/multiclass_classification/wheat/detections/012296d2a04ceabcc4f671abb6e0d627fc820279319e8810e254e02c5fccdf0c.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/012296d2a04ceabcc4f671abb6e0d627fc820279319e8810e254e02c5fccdf0c.png,-30.396679,-27.703495,-27.703495,TRAIN
25,https://storage.googleapis.com/multiclass_classification/wheat/detections/014fb2e0090610c0226c15d561b96c1824d0801a04112e23f21582a57078fa70.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/014fb2e0090610c0226c15d561b96c1824d0801a04112e23f21582a57078fa70.png,-24.104834,-30.226187,-30.226187,TRAIN
26,https://storage.googleapis.com/multiclass_classification/wheat/detections/01533e2b30eb6dfe05c84228b8546ac8fe38f3d7f70ade17fa38d680863d5f25.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/01533e2b30eb6dfe05c84228b8546ac8fe38f3d7f70ade17fa38d680863d5f25.png,-45.28396,-20.599201,-20.599201,TRAIN
27,https://storage.googleapis.com/multiclass_classification/wheat/detections/017552669ee45c6d4b877014b9c6d6d338a07beb2f0d0767861abc50a8b128ed.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/017552669ee45c6d4b877014b9c6d6d338a07beb2f0d0767861abc50a8b128ed.png,-29.7578,-22.061468,-22.061468,TRAIN
28,https://storage.googleapis.com/multiclass_classification/wheat/detections/018e8e71e1daaa92f7a954019e45a17576b7ebf5e44b9f1ff14e4b84823a71d0.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/018e8e71e1daaa92f7a954019e45a17576b7ebf5e44b9f1ff14e4b84823a71d0.png,-48.86167,4.3710413,4.3710413,TRAIN
29,https://storage.googleapis.com/multiclass_classification/wheat/detections/01a752c98a0626962b9515ad61711f0b814510e5bd7e64e3c065844fedd3d5b4.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/01a752c98a0626962b9515ad61711f0b814510e5bd7e64e3c065844fedd3d5b4.png,-12.609092,3.80499,3.80499,TRAIN
30,https://storage.googleapis.com/multiclass_classification/wheat/detections/01aa356e36fb11698c957106672843b04af4cce9c6aa4ff2baa65d0e12721e3e.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/01aa356e36fb11698c957106672843b04af4cce9c6aa4ff2baa65d0e12721e3e.png,-8.703911,-0.7250012,-0.7250012,TRAIN
31,https://storage.googleapis.com/multiclass_classification/wheat/detections/01c3b410363f417836272fbc95eea13d4693ce18b653bc7219dc9433ce87fb91.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/01c3b410363f417836272fbc95eea13d4693ce18b653bc7219dc9433ce87fb91.png,16.330877,-41.267365,-41.267365,TRAIN
32,https://storage.googleapis.com/multiclass_classification/wheat/detections/01c8f2ebec6adf2e711cbd9ea2e924a06d577fe450710d4339bb37b1708c6648.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/01c8f2ebec6adf2e711cbd9ea2e924a06d577fe450710d4339bb37b1708c6648.png,-25.879183,-10.53185,-10.53185,TRAIN
33,https://storage.googleapis.com/multiclass_classification/wheat/detections/01f3c5ebf0ff3a9de5a0820a9254c6a4fb80e63c3d973d0604797bf79b8053bf.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/01f3c5ebf0ff3a9de5a0820a9254c6a4fb80e63c3d973d0604797bf79b8053bf.png,11.132083,28.00437,28.00437,TRAIN
34,https://storage.googleapis.com/multiclass_classification/wheat/detections/01f7361eef7aaef31d5933a5276bc431d75c131dabac0e70fe3b7644a61de198.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/01f7361eef7aaef31d5933a5276bc431d75c131dabac0e70fe3b7644a61de198.png,5.8393664,41.895073,41.895073,TRAIN
35,https://storage.googleapis.com/multiclass_classification/wheat/detections/020e5f7452ff09fcb5929a525bc8923345a3d81d5db253c50c299a8fb4847f32.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/020e5f7452ff09fcb5929a525bc8923345a3d81d5db253c50c299a8fb4847f32.png,-45.655437,4.830275,4.830275,TRAIN
36,https://storage.googleapis.com/multiclass_classification/wheat/detections/0210141323f552e950056cf00f2c2f788aa966440ad95f14d987db3c580f32e3.png,https://storage.googleapis.com/multiclass_classification/wheat/detections2/0210141323f552e950056cf00f2c2f788aa966440ad95f14d987db3c580f32e3.png,4.679026,23.021616,23.021616,TRAIN
