,Filepaths,Overlaypaths,Features0,Features1,IOUs,Type
0,https://storage.googleapis.com/multiclass_classification/segmentation/images/Abyssinian_1.jpg,https://storage.googleapis.com/multiclass_classification/segmentation/overlays/Abyssinian_1.jpg,-2.3980782,-14.381616,0.084701538085938,TRAIN
1,https://storage.googleapis.com/multiclass_classification/segmentation/images/Abyssinian_10.jpg,https://storage.googleapis.com/multiclass_classification/segmentation/overlays/Abyssinian_10.jpg,-12.748008,-2.4394398,0.1458740234375,TRAIN
2,https://storage.googleapis.com/multiclass_classification/segmentation/images/Abyssinian_100.jpg,https://storage.googleapis.com/multiclass_classification/segmentation/overlays/Abyssinian_100.jpg,1.6360425,9.717922,0.282546997070312,TRAIN
3,https://storage.googleapis.com/multiclass_classification/segmentation/images/Abyssinian_101.jpg,https://storage.googleapis.com/multiclass_classification/segmentation/overlays/Abyssinian_101.jpg,-0.99323666,0.615649,0.2808837890625,TRAIN
4,https://storage.googleapis.com/multiclass_classification/segmentation/images/Abyssinian_102.jpg,https://storage.googleapis.com/multiclass_classification/segmentation/overlays/Abyssinian_102.jpg,2.1853585,12.478339,0.525161743164063,TRAIN
5,https://storage.googleapis.com/multiclass_classification/segmentation/images/Abyssinian_103.jpg,https://storage.googleapis.com/multiclass_classification/segmentation/overlays/Abyssinian_103.jpg,4.1361337,-9.572029,0.147415161132813,TRAIN
6,https://storage.googleapis.com/multiclass_classification/segmentation/images/Abyssinian_104.jpg,https://storage.googleapis.com/multiclass_classification/segmentation/overlays/Abyssinian_104.jpg,5.9031157,-2.0323775,0.205459594726562,TRAIN
7,https://storage.googleapis.com/multiclass_classification/segmentation/images/Abyssinian_105.jpg,https://storage.googleapis.com/multiclass_classification/segmentation/overlays/Abyssinian_105.jpg,6.204044,-27.122898,0.112823486328125,TRAIN
8,https://storage.googleapis.com/multiclass_classification/segmentation/images/Abyssinian_106.jpg,https://storage.googleapis.com/multiclass_classification/segmentation/overlays/Abyssinian_106.jpg,8.01883,-8.765537,0.215103149414062,TRAIN
9,https://storage.googleapis.com/multiclass_classification/segmentation/images/Abyssinian_107.jpg,https://storage.googleapis.com/multiclass_classification/segmentation/overlays/Abyssinian_107.jpg,-2.6670823,5.0425115,0.323196411132812,TRAIN
10,https://storage.googleapis.com/multiclass_classification/segmentation/images/Abyssinian_108.jpg,https://storage.googleapis.com/multiclass_classification/segmentation/overlays/Abyssinian_108.jpg,4.535121,22.36279,0.3763427734375,TRAIN
11,https://storage.googleapis.com/multiclass_classification/segmentation/images/Abyssinian_109.jpg,https://storage.googleapis.com/multiclass_classification/segmentation/overlays/Abyssinian_109.jpg,10.934687,-3.3239806,0.320068359375,TRAIN
12,https://storage.googleapis.com/multiclass_classification/segmentation/images/Abyssinian_11.jpg,https://storage.googleapis.com/multiclass_classification/segmentation/overlays/Abyssinian_11.jpg,-27.341494,-11.783038,0.15789794921875,TRAIN
