,Filepaths,Overlaypaths,Features0,Features1,IOUs,Type
0,/segmentation/images/Abyssinian_1.jpg,/segmentation/overlays/Abyssinian_1.jpg,-5.6245856,-13.313259,0.084701538085938,TRAIN
1,/segmentation/images/Abyssinian_10.jpg,/segmentation/overlays/Abyssinian_10.jpg,10.647461,-2.9212224,0.1458740234375,TRAIN
2,/segmentation/images/Abyssinian_100.jpg,/segmentation/overlays/Abyssinian_100.jpg,4.2972317,8.698325,0.282546997070312,TRAIN
3,/segmentation/images/Abyssinian_101.jpg,/segmentation/overlays/Abyssinian_101.jpg,-1.9745609,-0.74719524,0.2808837890625,TRAIN
4,/segmentation/images/Abyssinian_102.jpg,/segmentation/overlays/Abyssinian_102.jpg,-16.354826,16.92265,0.525161743164063,TRAIN
5,/segmentation/images/Abyssinian_103.jpg,/segmentation/overlays/Abyssinian_103.jpg,-12.137507,-5.0384154,0.147415161132813,TRAIN
6,/segmentation/images/Abyssinian_104.jpg,/segmentation/overlays/Abyssinian_104.jpg,-7.6794767,2.620907,0.205459594726562,TRAIN
7,/segmentation/images/Abyssinian_105.jpg,/segmentation/overlays/Abyssinian_105.jpg,-17.822134,-21.112392,0.112823486328125,TRAIN
8,/segmentation/images/Abyssinian_106.jpg,/segmentation/overlays/Abyssinian_106.jpg,-20.281612,-0.18471777,0.215103149414062,TRAIN
9,/segmentation/images/Abyssinian_107.jpg,/segmentation/overlays/Abyssinian_107.jpg,4.910888,5.2914257,0.323196411132812,TRAIN
10,/segmentation/images/Abyssinian_108.jpg,/segmentation/overlays/Abyssinian_108.jpg,13.191026,25.46396,0.3763427734375,TRAIN
11,/segmentation/images/Abyssinian_109.jpg,/segmentation/overlays/Abyssinian_109.jpg,-13.891988,1.7129879,0.320068359375,TRAIN
12,/segmentation/images/Abyssinian_11.jpg,/segmentation/overlays/Abyssinian_11.jpg,17.165052,-21.04376,0.15789794921875,TRAIN
13,/segmentation/images/Abyssinian_110.jpg,/segmentation/overlays/Abyssinian_110.jpg,22.530539,-4.8462653,0.458358764648438,TRAIN
14,/segmentation/images/Abyssinian_111.jpg,/segmentation/overlays/Abyssinian_111.jpg,5.7376013,-4.9599557,0.215469360351562,TRAIN
15,/segmentation/images/Abyssinian_112.jpg,/segmentation/overlays/Abyssinian_112.jpg,-7.428729,25.89005,0.489013671875,TRAIN
16,/segmentation/images/Abyssinian_113.jpg,/segmentation/overlays/Abyssinian_113.jpg,-1.3913769,-22.553228,0.102584838867188,TRAIN
17,/segmentation/images/Abyssinian_114.jpg,/segmentation/overlays/Abyssinian_114.jpg,-7.113431,-24.985983,0.12103271484375,TRAIN
18,/segmentation/images/Abyssinian_115.jpg,/segmentation/overlays/Abyssinian_115.jpg,4.6340127,8.9157715,0.280364990234375,TRAIN
